movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
3,Heat (1995),Action|Crime|Thriller
4,GoldenEye (1995),Action|Adventure|Thriller
5,Braveheart (1995),Action|Drama|War
6,Apollo 13 (1995),Adventure|Drama|IMAX
7,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
8,The Usual Suspects (1995),Crime|Mystery|Thriller
9,Se7en (1995),Mystery|Thriller
10,Star Wars: Episode IV (1977),Action|Adventure|Sci-Fi
11,Forrest Gump (1994),Comedy|Drama|Romance|War
12,The Lion King (1994),Adventure|Animation|Children|Drama|Musical
13,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
14,The Shawshank Redemption (1994),Crime|Drama
15,Speed (1994),Action|Romance|Thriller
16,Interstellar (2014),Adventure|Drama|Sci-Fi|IMAX
17,The Dark Knight (2008),Action|Crime|Drama|Thriller
18,Inception (2010),Action|Sci-Fi|Thriller|IMAX
19,Up (2009),Adventure|Animation|Children|Drama
20,WALL-E (2008),Adventure|Animation|Children|Sci-Fi
21,The Matrix (1999),Action|Sci-Fi
22,Fight Club (1999),Drama|Thriller
23,Gladiator (2000),Action|Adventure|Drama
24,Finding Nemo (2003),Adventure|Animation|Children|Comedy
25,The Incredibles (2004),Action|Adventure|Animation|Children|Comedy
26,Spirited Away (2001),Animation|Adventure|Fantasy
27,The Notebook (2004),Drama|Romance
28,La La Land (2016),Comedy|Drama|Musical|Romance
29,Mad Max: Fury Road (2015),Action|Adventure|Sci-Fi
30,Whiplash (2014),Drama|Music
31,Coco (2017),Adventure|Animation|Children|Comedy|Fantasy
32,Avengers: Endgame (2019),Action|Adventure|Sci-Fi
33,Parasite (2019),Comedy|Drama|Thriller
34,Joker (2019),Crime|Drama|Thriller
35,Soul (2020),Animation|Adventure|Children|Comedy|Fantasy|Musical
36,Dune (2021),Adventure|Drama|Sci-Fi|IMAX
37,Top Gun: Maverick (2022),Action|Drama
38,Everything Everywhere All at Once (2022),Action|Adventure|Comedy|Sci-Fi
39,Oppenheimer (2023),Biography|Drama|History
40,Barbie (2023),Adventure|Comedy|Fantasy
